Cycle,Algorithm,Length,Type
TJR,R2 E' R2 E,4,Edge
JRT,R2 E' R2 E,4,Edge
RTJ,R2 E' R2 E,4,Edge
PHN,R2 E' R2 E,4,Edge
HNP,R2 E' R2 E,4,Edge
NPH,R2 E' R2 E,4,Edge
TLJ,R2 E R2 E',4,Edge
LJT,R2 E R2 E',4,Edge
JTL,R2 E R2 E',4,Edge
NFP,R2 E R2 E',4,Edge
FPN,R2 E R2 E',4,Edge
PNF,R2 E R2 E',4,Edge
VDB,R2 S R2 S',4,Edge
DBV,R2 S R2 S',4,Edge
BVD,R2 S R2 S',4,Edge
OEM,R2 S R2 S',4,Edge
EMO,R2 S R2 S',4,Edge
MOE,R2 S R2 S',4,Edge
VBX,R2 S' R2 S,4,Edge
BXV,R2 S' R2 S,4,Edge
XVB,R2 S' R2 S,4,Edge
MGO,R2 S' R2 S,4,Edge
GOM,R2 S' R2 S,4,Edge
OMG,R2 S' R2 S,4,Edge
UAC,M' U2 M U2,4,Edge
ACU,M' U2 M U2,4,Edge
CUA,M' U2 M U2,4,Edge
QIK,M' U2 M U2,4,Edge
IKQ,M' U2 M U2,4,Edge
KQI,M' U2 M U2,4,Edge
WAU,M' D2 M D2,4,Edge
AUW,M' D2 M D2,4,Edge
UWA,M' D2 M D2,4,Edge
QKS,M' D2 M D2,4,Edge
KSQ,M' D2 M D2,4,Edge
SQK,M' D2 M D2,4,Edge
WCU,M' F2 M F2,4,Edge
CUW,M' F2 M F2,4,Edge
UWC,M' F2 M F2,4,Edge
SIK,M' F2 M F2,4,Edge
IKS,M' F2 M F2,4,Edge
KSI,M' F2 M F2,4,Edge
WAC,M' B2 M B2,4,Edge
ACW,M' B2 M B2,4,Edge
CWA,M' B2 M B2,4,Edge
QIS,M' B2 M B2,4,Edge
ISQ,M' B2 M B2,4,Edge
SQI,M' B2 M B2,4,Edge
CAW,M U2 M' U2,4,Edge
AWC,M U2 M' U2,4,Edge
WCA,M U2 M' U2,4,Edge
SIQ,M U2 M' U2,4,Edge
IQS,M U2 M' U2,4,Edge
QSI,M U2 M' U2,4,Edge
UCW,M D2 M' D2,4,Edge
CWU,M D2 M' D2,4,Edge
WUC,M D2 M' D2,4,Edge
KIS,M D2 M' D2,4,Edge
ISK,M D2 M' D2,4,Edge
SKI,M D2 M' D2,4,Edge
CAU,M F2 M' F2,4,Edge
AUC,M F2 M' F2,4,Edge
UCA,M F2 M' F2,4,Edge
KIQ,M F2 M' F2,4,Edge
IQK,M F2 M' F2,4,Edge
QKI,M F2 M' F2,4,Edge
UAW,M B2 M' B2,4,Edge
AWU,M B2 M' B2,4,Edge
WUA,M B2 M' B2,4,Edge
SKQ,M B2 M' B2,4,Edge
KQS,M B2 M' B2,4,Edge
QSK,M B2 M' B2,4,Edge
JLR,L2 E' L2 E,4,Edge
LRJ,L2 E' L2 E,4,Edge
RJL,L2 E' L2 E,4,Edge
FHP,L2 E' L2 E,4,Edge
HPF,L2 E' L2 E,4,Edge
PFH,L2 E' L2 E,4,Edge
RLT,L2 E L2 E',4,Edge
LTR,L2 E L2 E',4,Edge
TRL,L2 E L2 E',4,Edge
NHF,L2 E L2 E',4,Edge
HFN,L2 E L2 E',4,Edge
FNH,L2 E L2 E',4,Edge
XDV,L2 S L2 S',4,Edge
DVX,L2 S L2 S',4,Edge
VXD,L2 S L2 S',4,Edge
GEO,L2 S L2 S',4,Edge
EOG,L2 S L2 S',4,Edge
OGE,L2 S L2 S',4,Edge
BDX,L2 S' L2 S,4,Edge
DXB,L2 S' L2 S,4,Edge
XBD,L2 S' L2 S,4,Edge
MEG,L2 S' L2 S,4,Edge
EGM,L2 S' L2 S,4,Edge
GME,L2 S' L2 S,4,Edge
CAU,U2 M' U2 M,4,Edge
AUC,U2 M' U2 M,4,Edge
UCA,U2 M' U2 M,4,Edge
KIQ,U2 M' U2 M,4,Edge
IQK,U2 M' U2 M,4,Edge
QKI,U2 M' U2 M,4,Edge
WAC,U2 M U2 M',4,Edge
ACW,U2 M U2 M',4,Edge
CWA,U2 M U2 M',4,Edge
QIS,U2 M U2 M',4,Edge
ISQ,U2 M U2 M',4,Edge
SQI,U2 M U2 M',4,Edge
XDB,U2 S U2 S',4,Edge
DBX,U2 S U2 S',4,Edge
BXD,U2 S U2 S',4,Edge
GEM,U2 S U2 S',4,Edge
